Time_Spent_on_Site,Total_Amount_Spent,Page_Views,AOV,Group
90.98790606918838,496.88,12.0,47.34808407883127,A
50.79439014568651,347.66,14.0,38.61425191444043,A
66.20626405438345,161.5,13.0,21.52057790697621,A
61.22581016198074,70.91,8.0,11.533441319842536,A
122.86218839860469,1014.99,14.0,90.84658162684802,A
65.07377612228946,9.01,13.0,6.929424123486183,A
102.62903931173992,126.98,16.0,25.548677400317352,A
109.28717797315312,139.59,17.0,23.66569059281705,A
150.42391481183452,19.01,16.0,11.700178141436185,A
64.2267124696833,579.67,16.0,79.78629779124671,A
67.27627766977454,89.46,15.0,18.50658135071513,A
104.64051896758444,35.14,21.0,15.141066818885644,A
34.73317496761359,86.25,11.0,9.912382793281084,A
51.98649052172189,638.59,13.0,80.92093417704783,A
102.358571826348,79.2,14.0,12.64056064029444,A
75.17884963940787,107.17,12.0,16.051401480143973,A
105.26148605943082,135.76,21.0,29.494444229634663,A
58.72146348948219,48.8,7.0,10.595865293132482,A
47.39928487521087,428.71,12.0,42.42002198744714,A
51.275745358575485,447.82,14.0,47.37777058235609,A
80.56359747601569,0.0,11.0,0.0,A
73.81867819011232,29.02,10.0,10.418531328517515,A
122.0046646123635,164.26,22.0,16.24740086918402,A
65.52742618677905,628.5,13.0,66.7682596975405,A
82.20769545516622,36.02,16.0,9.136301797721892,A
124.4765745867432,115.92,14.0,16.378062456071873,A
75.79530519603632,64.1,12.0,13.057030827269884,A
105.61813894140496,0.0,14.0,0.0,A
97.46369528872104,106.56,12.0,16.739085416025333,A
121.58688936503056,852.72,14.0,83.18082481791507,A
39.57064476192964,91.27,16.0,11.4015176467419,A
119.81529414220832,36.69,10.0,13.819984686551448,A
226.3949167195844,93.04,29.0,46.655282159170405,A
87.848692161113,614.7,11.0,57.515448645574665,A
194.057089021672,44.39,16.0,16.636390674864565,A
183.3782573386271,55.19,22.0,15.786778972802228,A
28.74581148430933,5.9,10.0,4.028753780457386,A
161.0452091638731,69.21,16.0,14.778849318894183,A
56.969900905356205,516.6,17.0,41.04593461469699,A
171.8323345005076,41.56,21.0,16.848804789729723,A
147.3240549981091,0.0,19.0,0.0,A
132.88989032882714,120.5,17.0,25.517781785365763,A
121.03643619532514,168.32,14.0,31.52944294706668,A
124.21647482155645,80.72,21.0,21.969621873868103,A
59.41512357531801,229.72,8.0,24.5356889783678,A
59.82309951648134,423.12,9.0,56.790380541303016,A
57.6320917841279,623.08,12.0,43.22255584456703,A
127.05258569533112,189.93,16.0,31.85316244785433,A
41.78117848084934,87.69,7.0,13.81504416225746,A
132.636203485326,246.45,20.0,39.502248680381385,A
69.25577556778215,2652.98,10.0,290.9209517304101,A
46.90714934977486,67.38,9.0,12.728531280643876,A
46.67581665478412,94.85,10.0,10.293457415192371,A
53.71217794420273,60.65,14.0,12.233076584765096,A
38.05396727834905,2121.89,12.0,189.0969411671408,A
103.45027034821491,879.98,15.0,93.1751167945919,A
122.4768542084718,75.31,15.0,19.0145120773506,A
129.20022764570322,101.92,13.0,22.400369813188227,A
58.48583628344546,225.34,12.0,19.20679743890417,A
228.32704419315743,193.51,26.0,49.54985483997517,A
80.20849862424777,985.98,14.0,100.6143839738874,A
113.04574824358544,133.86,13.0,19.248331911524545,A
99.92877819721951,284.34,8.0,28.37068855127833,A
83.69392556102032,743.74,10.0,77.43239222983433,A
31.590460275649956,411.47,19.0,36.7973544219497,A
73.60674111039539,166.65,14.0,28.3104059364198,A
84.5602987662816,790.16,16.0,105.68601988121034,A
56.52258612340171,16.77,10.0,6.0221888805323145,A
69.9260917207218,158.52,14.0,20.8205534571108,A
41.779845562189614,120.3,11.0,18.84050228512888,A
68.13383353338894,7.89,9.0,5.9614165164357855,A
103.02390057759048,0.0,12.0,0.0,A
113.68247324069335,84.73,22.0,20.062104703026964,A
48.21508829675975,874.09,10.0,81.7551360500336,A
79.046761852921,21.87,11.0,9.455180316532651,A
49.46632374461298,98.14,14.0,11.673393180039472,A
76.3817306676808,593.39,9.0,82.80260479090222,A
71.53312249478059,33.49,14.0,7.910033592533256,A
121.32497821394684,70.87,18.0,14.588519054172192,A
130.2019131851752,122.08,15.0,19.628828317785896,A
86.78516644077938,26.49,15.0,8.812306067825904,A
75.54893746494083,22.28,16.0,7.426784833812984,A
144.7865879464111,680.77,23.0,102.48209612968635,A
87.52482436067271,152.34,7.0,20.0691226979642,A
170.7580160536885,188.4,18.0,28.69944891791704,A
35.33982888301301,138.7,9.0,19.03060214701896,A
181.3732729497087,74.21,19.0,18.1050107318778,A
58.74245881739024,54.59,9.0,10.578453500786134,A
46.47093150734579,228.14,9.0,23.789600826698447,A
78.22974692436736,77.84,15.0,16.431546670343494,A
44.70902687749352,177.69,13.0,20.244231888556616,A
106.32456843155975,59.99,17.0,14.94032085972598,A
283.4206967781331,1646.26,32.0,174.4330577764594,A
92.36094231729868,905.95,16.0,99.03738540966408,A
305.17096875105574,136.81,34.0,79.88045214305946,A
280.33136649695626,401.38,33.0,58.733384107434375,A
83.97276487688056,24.63,14.0,9.881599791187794,A
72.8086276774584,168.86,13.0,23.83151636724399,A
177.29725200962383,136.97,18.0,30.78508199326185,A
107.2252807055879,21.22,9.0,10.244776345722034,A
88.57630028433194,84.05,22.0,15.399685805841022,A
31.619255442927336,218.46,9.0,27.164883102487345,A
96.65243146476053,0.0,12.0,0.0,A
148.4275250428625,633.04,17.0,54.659250363061055,A
56.65842705547018,81.29,11.0,10.34826900807333,A
112.47515416569888,501.27,22.0,64.6082604082863,A
17.622151140454612,43.21,12.0,9.030667386835452,A
